user_id,starttime,finishtime,playtime,start_level,finish_level,name
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:30:28.674473+00:00,2024-03-13 09:32:16.034332+00:00,107.359859,1,2,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:33:13.753436+00:00,2024-03-13 09:35:18.073676+00:00,124.32024,1,4,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:35:20.625164+00:00,2024-03-13 09:37:33.671626+00:00,133.046462,1,4,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:41:51.472742+00:00,2024-03-13 09:43:02.974273+00:00,71.501531,1,2,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:43:05.911014+00:00,2024-03-13 09:44:06.241792+00:00,60.330778,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:44:09.915358+00:00,2024-03-13 09:45:27.235813+00:00,77.320455,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 09:45:30.761272+00:00,2024-03-13 09:46:37.577916+00:00,66.816644,1,2,
a9420c435f998811b8340024d2f082ea-1,2024-03-13 11:44:40.132369+00:00,2024-03-13 11:46:05.642339+00:00,85.50997,1,2,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:30:12.137293+00:00,2024-03-14 20:31:08.632419+00:00,56.495126,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:31:19.313270+00:00,2024-03-14 20:32:19.629371+00:00,60.316101,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:33:14.196168+00:00,2024-03-14 20:34:09.236126+00:00,55.039958,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:34:14.468480+00:00,2024-03-14 20:34:58.285719+00:00,43.817239,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:35:03.661278+00:00,2024-03-14 20:36:05.990196+00:00,62.328918,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:36:12.865712+00:00,2024-03-14 20:37:13.696505+00:00,60.830793,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:37:29.113556+00:00,2024-03-14 20:38:33.931203+00:00,64.817647,1,1,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:38:43.554007+00:00,2024-03-14 20:39:39.370675+00:00,55.816668,1,3,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:39:45.813401+00:00,2024-03-14 20:42:55.609970+00:00,189.796569,1,5,
a9420c435f998811b8340024d2f082ea-1,2024-03-14 20:45:04.337754+00:00,2024-03-14 20:46:30.416811+00:00,86.079057,1,3,
