user_id,starttime,finishtime,playtime,start_level,finish_level,name
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:45:07.615708+00:00,2024-03-13 19:45:41.333532+00:00,33.717824,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:45:44.571208+00:00,2024-03-13 19:47:09.390974+00:00,84.819766,1,2,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:47:15.759481+00:00,2024-03-13 19:48:06.095769+00:00,50.336288,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:48:23.411001+00:00,2024-03-13 19:49:21.299828+00:00,57.888827,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:49:24.934021+00:00,2024-03-13 19:50:11.756332+00:00,46.822311,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:50:13.890737+00:00,2024-03-13 19:51:54.862323+00:00,100.971586,1,3,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:52:02.550150+00:00,2024-03-13 19:53:41.840938+00:00,99.290788,1,4,
b6c21df4c308a9abade999c23aa698be-1,2024-03-13 19:53:51.239483+00:00,2024-03-13 19:55:46.364185+00:00,115.124702,1,4,
b6c21df4c308a9abade999c23aa698be-5,2024-03-15 19:41:59.693213+00:00,2024-03-15 19:42:03.829603+00:00,4.13639,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 19:42:07.927057+00:00,2024-03-15 19:43:35.844886+00:00,87.917829,1,3,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 19:43:40.504836+00:00,2024-03-15 19:46:12.823811+00:00,152.318975,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 19:46:16.817031+00:00,2024-03-15 19:49:25.910464+00:00,189.093433,1,7,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:06:49.229881+00:00,2024-03-15 21:08:15.131901+00:00,85.90202,1,4,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:08:18.555925+00:00,2024-03-15 21:10:07.557034+00:00,109.001109,1,4,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:10:28.246487+00:00,2024-03-15 21:11:56.218230+00:00,87.971743,1,4,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:11:58.768033+00:00,2024-03-15 21:13:29.087339+00:00,90.319306,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:14:37.356987+00:00,2024-03-15 21:16:35.661078+00:00,118.304091,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-15 21:16:43.715410+00:00,2024-03-15 21:17:55.297409+00:00,71.581999,6,8,
b6c21df4c308a9abade999c23aa698be-1,2024-03-17 21:42:59.846188+00:00,2024-03-17 21:43:04.137440+00:00,4.291252,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-17 22:12:03.530382+00:00,2024-03-17 22:13:39.679864+00:00,96.149482,1,4,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:26:38.857821+00:00,2024-03-19 15:27:00.025805+00:00,21.167984,1,1,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:27:01.012469+00:00,2024-03-19 15:27:55.831648+00:00,54.819179,1,3,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:27:57.480280+00:00,2024-03-19 15:30:15.296185+00:00,137.815905,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:30:17.501416+00:00,2024-03-19 15:32:24.330571+00:00,126.829155,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:32:26.296401+00:00,2024-03-19 15:34:53.114920+00:00,146.818519,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:35:24.345897+00:00,2024-03-19 15:37:32.175929+00:00,127.830032,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:37:34.223000+00:00,2024-03-19 15:40:28.540661+00:00,174.317661,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:41:56.317234+00:00,2024-03-19 15:44:34.223922+00:00,157.906688,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:46:48.605471+00:00,2024-03-19 15:50:23.136321+00:00,214.53085,1,7,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:50:35.747047+00:00,2024-03-19 15:53:38.554695+00:00,182.807648,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:55:54.937714+00:00,2024-03-19 15:58:35.764647+00:00,160.826933,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-19 15:59:36.686983+00:00,2024-03-19 16:02:18.596684+00:00,161.909701,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-20 17:33:20.189391+00:00,2024-03-20 17:36:42.600766+00:00,202.411375,1,5,
b6c21df4c308a9abade999c23aa698be-1,2024-03-20 17:36:58.925507+00:00,2024-03-20 17:39:39.326447+00:00,160.40094,1,5,
b6c21df4c308a9abade999c23aa698be-3,2024-03-28 14:43:28.886508+00:00,2024-03-28 14:47:04.302322+00:00,215.415814,1,5,
b6c21df4c308a9abade999c23aa698be-3,2024-03-28 14:47:20.685498+00:00,2024-03-28 14:50:39.007744+00:00,198.322246,1,4,
b6c21df4c308a9abade999c23aa698be-3,2024-03-28 14:50:50.601469+00:00,2024-03-28 14:57:08.925766+00:00,378.324297,1,6,
b6c21df4c308a9abade999c23aa698be-3,2024-03-29 19:46:23.702283+00:00,2024-03-29 19:47:39.621780+00:00,75.919497,6,6,
b6c21df4c308a9abade999c23aa698be-3,2024-03-29 19:47:45.187996+00:00,2024-03-29 19:59:43.821418+00:00,718.633422,1,21,
b6c21df4c308a9abade999c23aa698be-3,2024-04-03 15:45:30.171322+00:00,2024-04-03 15:57:04.171948+00:00,694.000626,1,21,
b6c21df4c308a9abade999c23aa698be-3,2024-04-04 09:18:52.991550+00:00,2024-04-04 09:30:02.533334+00:00,669.541784,1,19,
Total,,,6666.509977,,,No_Ziga_games.csv
