user_id, session_id, start, finish, start_level, finish_level
user_id, session_id, start, finish, start_level, finish_level
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:36:44.8457470+01:00,2024-03-13T10:37:56.2492830+01:00,1,2
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:36:44.8457470+01:00,2024-03-13T10:38:05.6371520+01:00,1,2
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:38:06.4946960+01:00,2024-03-13T10:39:48.8234610+01:00,1,3
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:38:06.4946960+01:00,2024-03-13T10:39:48.8284900+01:00,1,3
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:38:06.4946960+01:00,2024-03-13T10:39:52.2649650+01:00,1,3
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:39:53.3747910+01:00,2024-03-13T10:43:06.1961440+01:00,1,5
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:39:53.3747910+01:00,2024-03-13T10:43:13.9151830+01:00,1,5
806dfbb080378e366102b82925600fbc-1,72ae32a6-8e39-423f-b71c-0aedb8a1bdd8,2024-03-13T10:39:53.3747910+01:00,2024-03-13T10:43:18.3915320+01:00,1,5
806dfbb080378e366102b82925600fbc-1,3d7b3c81-5f9f-4871-b333-5f043047f204,2024-03-13T10:43:59.0686710+01:00,2024-03-13T10:44:52.9669240+01:00,1,3
806dfbb080378e366102b82925600fbc-1,3d7b3c81-5f9f-4871-b333-5f043047f204,2024-03-13T10:43:59.0686710+01:00,2024-03-13T10:44:55.4319310+01:00,1,3
806dfbb080378e366102b82925600fbc-1,3d7b3c81-5f9f-4871-b333-5f043047f204,2024-03-13T10:44:56.4458730+01:00,2024-03-13T10:48:08.2597360+01:00,1,5
