user_id,starttime,finishtime,playtime,start_level,finish_level,name
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:28:24.784707+00:00,2024-03-13 17:30:50.649796+00:00,145.865089,1,5,
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:30:58.758202+00:00,2024-03-13 17:33:40.581095+00:00,161.822893,1,5,
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:33:54.911691+00:00,2024-03-13 17:36:56.232915+00:00,181.321224,1,5,
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:37:01.271297+00:00,2024-03-13 17:42:59.084864+00:00,357.813567,1,9,
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:43:34.082582+00:00,2024-03-13 17:45:45.475196+00:00,131.392614,6,9,
3f315113f9a6183f5415825c2f212848-1,2024-03-13 17:45:49.880993+00:00,2024-03-13 17:48:49.308484+00:00,179.427491,6,10,
3f315113f9a6183f5415825c2f212848-1,2024-03-14 13:45:56.425118+00:00,2024-03-14 13:48:43.459257+00:00,167.034139,6,10,
3f315113f9a6183f5415825c2f212848-1,2024-03-14 13:48:52.204957+00:00,2024-03-14 13:58:54.546948+00:00,602.341991,6,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-14 13:59:16.502615+00:00,2024-03-14 14:02:42.814432+00:00,206.311817,6,10,
3f315113f9a6183f5415825c2f212848-1,2024-03-14 14:02:46.395152+00:00,2024-03-14 14:09:41.208099+00:00,414.812947,6,16,
3f315113f9a6183f5415825c2f212848-1,2024-03-15 17:25:43.828305+00:00,2024-03-15 17:35:38.227998+00:00,594.399693,1,15,
3f315113f9a6183f5415825c2f212848-1,2024-03-15 17:35:51.210517+00:00,2024-03-15 17:48:03.313485+00:00,732.102968,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-15 17:48:31.944448+00:00,2024-03-15 17:50:18.752098+00:00,106.80765,16,18,
3f315113f9a6183f5415825c2f212848-1,2024-03-15 17:50:21.883467+00:00,2024-03-15 17:53:51.251912+00:00,209.368445,16,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-16 14:27:33.127822+00:00,2024-03-16 14:39:32.895282+00:00,719.76746,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-16 14:39:51.975316+00:00,2024-03-16 14:51:28.623650+00:00,696.648334,1,21,
3f315113f9a6183f5415825c2f212848-3,2024-03-17 10:11:47.592893+00:00,2024-03-17 10:13:42.099636+00:00,114.506743,1,2,
3f315113f9a6183f5415825c2f212848-3,2024-03-17 10:14:18.153629+00:00,2024-03-17 10:16:16.482354+00:00,118.328725,1,4,
3f315113f9a6183f5415825c2f212848-3,2024-03-17 10:16:30.742767+00:00,2024-03-17 10:17:57.074751+00:00,86.331984,1,2,
3f315113f9a6183f5415825c2f212848-1,2024-03-22 20:12:13.656198+00:00,2024-03-22 20:23:41.245779+00:00,687.589581,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-22 20:25:54.079651+00:00,2024-03-22 20:36:20.721493+00:00,626.641842,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-23 20:24:51.818102+00:00,2024-03-23 20:36:19.286896+00:00,687.468794,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-24 17:46:52.221604+00:00,2024-03-24 17:57:52.411086+00:00,660.189482,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-26 09:07:50.475261+00:00,2024-03-26 09:19:42.190038+00:00,711.714777,1,21,
3f315113f9a6183f5415825c2f212848-1,2024-03-26 09:21:33.008590+00:00,2024-03-26 09:24:24.256002+00:00,171.247412,16,21,
Total,,,9471.257662,,,No_Jernej_848_games.csv
