sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 1; 0; 59; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 2; 250; 72; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 3; 720; 52; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 4; 1017; 48; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 5; 1473; 24; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 6; 1610; 44; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 7; 1757; 56; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 8; 2448; 60; space
1; 14; moški; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 9; 3257; 60; return
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 1; 0; 67; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 2; 377; 56; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 3; 590; 68; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 4; 840; 100; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 5; 1291; 68; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 6; 1521; 72; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 7; 1775; 120; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 8; 2279; 80; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 9; 2787; 64; space
1; 14; moški; ritem; eksperiment; 1; R1_easy_tapping.wav; 10; 4451; 240; return
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 1; 0; 47; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 2; 330; 60; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 3; 484; 64; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 4; 847; 56; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 5; 1001; 60; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 6; 1350; 52; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 7; 1513; 52; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 8; 1871; 52; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 9; 2026; 60; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 10; 2558; 56; space
1; 14; moški; ritem; eksperiment; 2; R3_medium_tapping.wav; 11; 3216; 56; return
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 1; 0; 51; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 2; 248; 56; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 3; 729; 40; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 4; 868; 60; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 5; 1215; 52; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 6; 1471; 52; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 7; 1902; 40; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 8; 2060; 52; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 9; 2370; 52; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 10; 2711; 60; space
1; 14; moški; ritem; eksperiment; 3; R4_medium_tapping.wav; 11; 3442; 140; return
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 1; 0; 64; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 2; 258; 56; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 3; 652; 56; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 4; 826; 52; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 5; 1159; 48; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 6; 1441; 48; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 7; 1865; 52; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 8; 2026; 56; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 9; 2334; 56; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 10; 2604; 60; space
1; 14; moški; ritem; eksperiment; 4; R8_complex_tapping.wav; 11; 3109; 96; return
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 1; 0; 67; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 2; 399; 92; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 3; 820; 96; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 4; 1272; 108; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 5; 1725; 92; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 6; 2181; 84; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 7; 2624; 92; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 8; 3075; 80; space
1; 14; moški; tempo; vaja; 1; TE_exampleI_129bpm_tapping.wav; 9; 3789; 64; return
