sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 12; 4901; 60; space
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 13; 5148; 72; space
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 14; 5404; 100; space
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 15; 5920; 100; space
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 16; 6436; 120; space
2323; 22; ženski; ritem; eksperiment; 2; R2_easy_tapping.wav; 17; 8039; 80; return
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 1; 0; 83; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 2; 396; 56; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 3; 548; 68; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 4; 909; 68; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 5; 1071; 60; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 6; 1425; 52; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 7; 1581; 56; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 8; 1987; 68; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 9; 2159; 52; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 10; 2701; 60; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 11; 4326; 80; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 12; 4701; 60; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 13; 4875; 48; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 14; 5266; 56; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 15; 5440; 36; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 16; 5924; 56; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 17; 6109; 56; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 18; 6662; 48; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 19; 7168; 60; space
2323; 22; ženski; ritem; eksperiment; 3; R3_medium_tapping.wav; 20; 8335; 68; return
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 1; 0; 83; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 2; 221; 80; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 3; 735; 68; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 4; 1021; 92; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 5; 1529; 108; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 6; 1768; 60; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 7; 2256; 72; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 8; 2498; 108; space
2323; 22; ženski; ritem; eksperiment; 4; R4_medium_tapping.wav; 9; 3606; 64; return
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 1; 0; 75; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 2; 307; 80; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 3; 890; 80; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 4; 1218; 60; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 5; 1393; 48; space
2323; 22; ženski; ritem; eksperiment; 5; R6_complex_tapping.wav; 6; 1613; 64; space
