sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 1; 0; 90; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 2; 505; 76; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 3; 764; 92; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 4; 1283; 76; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 5; 1548; 88; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 6; 2016; 56; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 7; 2164; 52; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 8; 2303; 48; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 9; 3011; 56; space
23; 16; moški; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 10; 4728; 76; return
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 1; 0; 51; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 2; 543; 64; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 3; 738; 64; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 4; 977; 76; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 5; 1510; 68; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 6; 1745; 64; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 7; 2009; 80; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 8; 2518; 72; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 9; 3014; 72; space
23; 16; moški; ritem; eksperimenta; 1; R_E1_tapping.wav; 10; 3865; 96; return
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 1; 0; 38; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 2; 340; 64; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 3; 494; 48; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 4; 843; 44; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 5; 981; 48; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 6; 1303; 44; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 7; 1454; 48; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 8; 1873; 44; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 9; 2007; 48; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 10; 2476; 48; space
23; 16; moški; ritem; eksperimenta; 2; R_M1_tapping.wav; 11; 3702; NA; return
23; 16; moški; ritem; eksperimenta; 3; R_MS2_tapping.wav; 1; 0; 51; space
23; 16; moški; ritem; eksperimenta; 3; R_MS2_tapping.wav; 2; 256; 52; space
23; 16; moški; ritem; eksperimenta; 3; R_MS2_tapping.wav; 3; 691; 48; space
