sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 1; 0; 83; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 2; 481; 76; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 3; 757; 93; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 4; 1290; 92; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 5; 1568; 88; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 6; 2037; 56; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 7; 2186; 56; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 8; 2348; 56; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 9; 3076; 47; space
22; 22; ženski; ritem; vaja; 1; R_exampleI_520260520260520130130520_tapping.wav; 10; 5094; 84; return
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 1; 0; 99; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 2; 304; 84; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 3; 822; 80; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 4; 1103; 116; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 5; 1683; 88; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 6; 1963; 144; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 7; 2517; 76; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 8; 2779; 140; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 9; 3276; 52; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 10; 3431; 56; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 11; 3578; 60; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 12; 3973; 48; space
22; 22; ženski; ritem; vaja; 2; R_exampleII_260520650130520260260260520_tapping.wav; 13; 5599; NA; return
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 1; 0; 40; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 2; 224; 56; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 3; 776; 40; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 4; 1027; 40; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 5; 1578; 44; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 6; 1728; 64; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 7; 1856; 64; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 8; 2370; 40; space
22; 22; ženski; ritem; vaja; 3; R_exampleIII_520650650520130390130520_tapping.wav; 9; 2948; NA; return
