sbj; age; sex; block; phase; trialnr; sound; press order; accumulated RT; press duration; key name
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 1; 0; 54; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 2; 434; 78; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 3; 698; 78; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 4; 1130; 74; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 5; 1392; 74; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 6; 1852; 44; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 7; 1994; 50; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 8; 2124; 76; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 9; 2560; 114; space
3; 14; ženski; ritem; vaje; 1; R_exampleI_520260520260520130130520_tapping.wav; 10; 3320; 84; return
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 1; 0; 10; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 2; 664; 62; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 3; 892; 72; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 4; 1428; 64; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 5; 1666; 58; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 6; 1910; 80; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 7; 2424; 72; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 8; 2650; 62; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 9; 2904; 72; space
3; 14; ženski; ritem; eksperimenta; 1; R_E1_tapping.wav; 10; 4404; 72; return
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 1; 0; 26; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 2; 332; 52; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 3; 470; 66; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 4; 924; 52; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 5; 1076; 52; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 6; 1320; 60; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 7; 1566; 90; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 8; 1962; 64; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 9; 2104; 82; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 10; 2602; 82; space
3; 14; ženski; ritem; eksperimenta; 2; R_M1_tapping.wav; 11; 3174; NA; return
3; 14; ženski; ritem; eksperimenta; 3; R_MS2_tapping.wav; 1; 0; 66; space
3; 14; ženski; ritem; eksperimenta; 3; R_MS2_tapping.wav; 2; 220; 96; space
3; 14; ženski; ritem; eksperimenta; 3; R_MS2_tapping.wav; 3; 646; 48; space
3; 14; ženski; ritem; eksperimenta; 3; R_MS2_tapping.wav; 4; 788; 62; space
3; 14; ženski; ritem; eksperimenta; 3; R_MS2_tapping.wav; 5; 1088; 85; space
