user_id, session_id, start, finish, start_level, finish_level
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:10:20.0390470+01:00,2024-03-15T16:13:34.9373580+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:10:20.0390470+01:00,2024-03-15T16:13:43.0297630+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:13:52.5537010+01:00,2024-03-15T16:17:10.3680610+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:13:52.5537010+01:00,2024-03-15T16:17:14.2287390+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:17:20.7633990+01:00,2024-03-15T16:19:02.5849110+01:00,6,8
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:17:20.7633990+01:00,2024-03-15T16:19:02.5899540+01:00,6,8
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:17:20.7633990+01:00,2024-03-15T16:19:08.4984540+01:00,6,8
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:19:15.5660950+01:00,2024-03-15T16:20:59.8837550+01:00,11,13
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:19:15.5660950+01:00,2024-03-15T16:21:06.4238270+01:00,11,13
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:21:07.1553770+01:00,2024-03-15T16:22:02.5859600+01:00,11,11
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:21:07.1553770+01:00,2024-03-15T16:22:04.8485750+01:00,11,11
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:22:07.1252360+01:00,2024-03-15T16:25:32.9519730+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:22:07.1252360+01:00,2024-03-15T16:25:45.0339810+01:00,11,15
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:25:52.5174470+01:00,2024-03-15T16:29:22.8416260+01:00,6,10
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:25:52.5174470+01:00,2024-03-15T16:29:24.9360290+01:00,6,10
806dfbb080378e366102b82925600fbc-1,7ca3b540-1d3c-40b3-a46d-c4a7456f7b10,2024-03-15T16:25:52.5174470+01:00,2024-03-15T16:29:25.4533180+01:00,6,10
