user_id,starttime,playtime,start_level,finish_level
64ca28d524c9c96d8e6a33d71a48f602-1,2024-03-14 14:11:37.480167+00:00,84.178523,1,2
64ca28d524c9c96d8e6a33d71a48f602-1,2024-03-14 14:11:37.480167+00:00,92.523982,1,2
64ca28d524c9c96d8e6a33d71a48f602-1,2024-03-14 14:11:37.480167+00:00,93.79716,1,2
user_id,,, start_level, finish_level
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:44:17.808443+00:00,55.891476,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:44:17.808443+00:00,55.984846,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:44:17.808443+00:00,59.243731,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:45:22.109077+00:00,59.8343,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:45:22.109077+00:00,59.840079,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:45:22.109077+00:00,59.841641,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:45:22.109077+00:00,66.038906,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:46:32.508262+00:00,60.809965,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:46:32.508262+00:00,60.814367,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:46:32.508262+00:00,71.952239,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:47:48.071838+00:00,82.812909,1,2
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:47:48.071838+00:00,82.817844,1,2
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:47:48.071838+00:00,84.616693,1,2
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:49:15.995219+00:00,55.190549,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:49:15.995219+00:00,57.410303,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:50:20.018781+00:00,60.33143,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:50:20.018781+00:00,60.335896,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:50:20.018781+00:00,62.493653,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:51:25.664408+00:00,58.316599,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:51:25.664408+00:00,58.323517,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:51:25.664408+00:00,58.324754,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:51:25.664408+00:00,61.510148,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:52:31.744248+00:00,60.815913,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:52:31.744248+00:00,63.118844,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:53:36.862982+00:00,62.831573,1,2
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:53:36.862982+00:00,65.190695,1,2
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:54:43.954232+00:00,44.819478,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:54:43.954232+00:00,46.497486,1,1
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:55:32.727291+00:00,84.760206,1,4
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:55:32.727291+00:00,84.765323,1,4
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 14:55:32.727291+00:00,86.799917,1,4
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 15:19:36.268784+00:00,191.437461,1,5
64ca28d524c9c96d8e6a33d71a48f602-3,2024-03-28 15:19:36.268784+00:00,193.584376,1,5
