user_id,starttime,playtime,start_level,finish_level
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:36:40.720453+00:00,54.419244,1,1
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:36:40.720453+00:00,58.482298,1,1
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:37:41.885005+00:00,72.819729,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:37:41.885005+00:00,72.824108,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:37:41.885005+00:00,83.792464,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:39:10.413569+00:00,67.306714,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:39:10.413569+00:00,69.360831,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-13 09:39:10.413569+00:00,90.713118,1,2
1ca3fadde4a210fdaa838a85c7469580-5,2024-03-13 17:08:25.084529+00:00,100.882602,1,2
1ca3fadde4a210fdaa838a85c7469580-5,2024-03-13 17:08:25.084529+00:00,103.545343,1,2
1ca3fadde4a210fdaa838a85c7469580-5,2024-03-13 17:08:25.084529+00:00,104.30212,1,2
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 17:31:47.633363+00:00,62.220568,1,1
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 17:31:47.633363+00:00,62.316931,1,1
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 17:31:47.633363+00:00,64.201265,1,1
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 17:31:47.633363+00:00,66.417554,1,1
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 21:20:14.054115+00:00,82.300666,1,2
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 21:20:14.054115+00:00,87.869224,1,2
1ca3fadde4a210fdaa838a85c7469580-3,2024-03-13 21:20:14.054115+00:00,90.293142,1,2
user_id,,, start_level, finish_level
user_id,,, start_level, finish_level
user_id,,, start_level, finish_level
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:33:27.136813+00:00,78.515343,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:33:27.136813+00:00,80.941004,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:34:50.205557+00:00,73.320859,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:34:50.205557+00:00,76.292946,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:36:08.426874+00:00,92.266183,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:36:08.426874+00:00,102.236284,1,2
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:38:15.663938+00:00,94.236398,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:38:15.663938+00:00,96.277333,1,3
1ca3fadde4a210fdaa838a85c7469580-1,2024-03-26 21:38:15.663938+00:00,97.425805,1,3
Total,,2185.580076,,
