user_id,starttime,playtime,start_level,finish_level
user_id,,, start_level, finish_level
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:39:09.991795+00:00,58.53243,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:39:09.991795+00:00,58.643508,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:39:09.991795+00:00,58.645134,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:39:09.991795+00:00,72.476438,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:40:32.590718+00:00,59.825564,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:40:32.590718+00:00,59.832163,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:40:32.590718+00:00,59.833502,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:40:32.590718+00:00,68.636011,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:41:44.359625+00:00,58.308692,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:41:44.359625+00:00,58.315161,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:41:44.359625+00:00,78.729839,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:43:08.896910+00:00,60.830059,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:43:08.896910+00:00,60.835957,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:43:08.896910+00:00,65.32278,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:43:08.896910+00:00,67.519437,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:49:00.140466+00:00,82.393347,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:49:00.140466+00:00,82.476535,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:49:00.140466+00:00,130.448794,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:51:13.288962+00:00,48.603153,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:51:13.288962+00:00,49.774086,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:57:09.686989+00:00,69.01262,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 09:57:09.686989+00:00,70.54831,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:07:42.367428+00:00,77.915297,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:07:42.367428+00:00,80.071069,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:09:05.602331+00:00,90.822679,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:09:05.602331+00:00,92.75733,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:10:42.091155+00:00,117.820963,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:10:42.091155+00:00,117.828355,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:10:42.091155+00:00,119.572916,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:12:43.364787+00:00,58.326073,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:12:43.364787+00:00,58.334959,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:12:43.364787+00:00,58.336258,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:12:43.364787+00:00,60.022237,1,1
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:13:47.286836+00:00,102.393146,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:13:47.286836+00:00,103.979513,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:15:33.522920+00:00,81.312322,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:15:33.522920+00:00,82.898706,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:16:58.427757+00:00,108.826125,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:16:58.427757+00:00,110.370224,1,2
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:18:51.111787+00:00,82.789606,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:18:51.111787+00:00,87.085388,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:20:30.315840+00:00,66.81751,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:20:30.315840+00:00,68.334531,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:21:40.545304+00:00,108.31042,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:21:40.545304+00:00,111.775711,1,3
b4a669494024c0aacda177f9417037d6-1,2024-03-13 13:21:40.545304+00:00,112.534661,1,3
b4a669494024c0aacda177f9417037d6-2,2024-03-14 20:17:32.421713+00:00,58.028025,1,1
b4a669494024c0aacda177f9417037d6-2,2024-03-14 20:17:32.421713+00:00,58.134879,1,1
b4a669494024c0aacda177f9417037d6-2,2024-03-14 20:17:32.421713+00:00,71.78435,1,1
b4a669494024c0aacda177f9417037d6-2,2024-03-14 20:18:54.009969+00:00,61.826948,1,1
