user_id, session_id, timestamp, music_time, closest_offset, drum_id
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:19.6360170+01:00,5.717333,0.2173333,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:20.0942020+01:00,6.186666,0.1866665,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:29.9380310+01:00,16.02133,0.02133369,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:30.9781620+01:00,17.06667,0.06666756,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:32.1161300+01:00,18.21867,0.2186661,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:33.1877780+01:00,19.28533,0.2146664,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:40.4652030+01:00,26.56,0.05999947,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:41.0616050+01:00,27.15733,0.1573334,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:41.7142930+01:00,27.79733,0.2026672,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:43.0044220+01:00,29.09867,0.09866714,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:44.0484370+01:00,30.144,0.1439991,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:44.6153290+01:00,30.72,0.2199993,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:45.7976920+01:00,31.89333,0.1066666,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:46.4781440+01:00,32.576,0.07600021,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:51.6440070+01:00,37.73867,0.2386665,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:52.2410370+01:00,38.336,0.1640015,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:52.8529520+01:00,38.95467,0.04533386,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:53.4222710+01:00,39.50933,0.009334564,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:54.6031180+01:00,40.704,0.2039986,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:55.0213350+01:00,41.10933,0.109333,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:55.4636110+01:00,41.55733,0.0573349,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:47:55.8939190+01:00,41.984,0.01599884,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:05.7011430+01:00,51.79733,0.2026672,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:06.0605300+01:00,52.16,0.1599998,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:06.7979530+01:00,52.88533,0.114666,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:07.1440790+01:00,53.248,0.2480011,1
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:08.2422750+01:00,54.336,0.1640015,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:08.5897180+01:00,54.67733,0.1773338,0
aef000178558d0aa1c66c0246ecc449d-3,1dba91b0-afcc-43c0-9c7e-e22ffb6168a2,2024-03-19T21:48:08.9917270+01:00,55.08267,0.0826683,1
