user_id, session_id, name, wasSkipped, start, end
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:04:00.9540850+01:00, 2024-03-14T19:04:03.8848640+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:05:18.8103100+01:00, 2024-03-14T19:05:20.2931880+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:05:54.6222330+01:00, 2024-03-14T19:05:55.5275130+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:07:10.9000180+01:00, 2024-03-14T19:07:12.0518870+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:08:02.0029230+01:00, 2024-03-14T19:10:08.6642390+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:11:35.0174710+01:00, 2024-03-14T19:11:36.0870520+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:12:27.0359670+01:00, 2024-03-14T19:12:28.0664590+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:14:04.6752100+01:00, 2024-03-14T19:14:05.7145290+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:15:04.9263600+01:00, 2024-03-14T19:15:05.6497440+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:16:29.0240300+01:00, 2024-03-14T19:16:29.9809300+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:17:28.5154760+01:00, 2024-03-14T19:17:29.2399710+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:19:20.6222360+01:00, 2024-03-14T19:19:21.6216540+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:19:32.0587320+01:00, 2024-03-14T19:19:33.5876580+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Intro, True, 2024-03-14T19:20:59.2515800+01:00, 2024-03-14T19:21:00.1653950+01:00
aef000178558d0aa1c66c0246ecc449d-1,86b020fa-630a-442a-bfde-70d7b4653e8d, Orc, True, 2024-03-14T19:22:18.0400890+01:00, 2024-03-14T19:22:18.9687690+01:00
