"sbj","age","sex","block","phase","trialnr","sound","exclude","AbsoluteAsynchrony","RelativeAsynchrony","AbsoluteCorrectness","RelativeCorrectness","Asynchrony"
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,11.8713942307692,3.02576681918319,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,7.75048076923077,2.5913927077107,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,10.743660968661,0.504597862110816,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,6.27792022792023,0.838859688362037,0,0,NA
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,6.29811827956989
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.326773566569485
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.135517693315858
"72bdb79df0c1714322ce2fc32d45b2ad-2",8,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.0906493506493506
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,4.00552884615385,4.81859200470312,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.873637820512821,0.452751196172249,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",2,"R_M1_tapping.wav",0,1.93931623931624,1.91318754141816,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","ritem","eksperiment",3,"R_MS2_tapping.wav",0,16.2777777777778,4.17603654600526,0,0,NA
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0608294930875576
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0852465986394558
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.119003931847969
"9ac02f6700b5fa6d1a3360a26727480e-1",8,"ženski","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.196103896103896
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.07932692307692,1.46838034576888,1,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,1.59166666666667,1.08003891681531,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,4.77905982905983,2.63005997001499,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,5.19358974358974,1.98566832407137,0,0,NA
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.077726574500768
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.0391156462585034
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0385321100917431
"ecdbc1f85bdd4d39285795987f6047d7-1",7,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.032987012987013
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,3.27283653846154,3.26455212626923,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,3.38461538461538,2.20232985898222,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,5.3227207977208,0.754632499827788,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,7.42115384615385,0.491069636765001,0,0,NA
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0460829493087558
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.086977648202138
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.130013106159895
"eb0a8af1e7ef1a93501c12657c5e7f5a-1",8,"moški","tempo","eksperiment",3,"TE_CS2_tapping.wav",0,NA,NA,NA,NA,0.282597402597403
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","vaja",1,"R_exampleI_520260520260520130130520_tapping.wav",0,1.52653846153846,1.16035151385776,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",1,"R_E1_tapping.wav",0,0.663301282051282,0.658221375110408,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",2,"R_M1_tapping.wav",0,6.75525641025641,3.29120449274957,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","ritem","eksperiment",3,"R_MS2_tapping.wav",0,0.221082621082621,0.341535433070866,0,0,NA
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","vaja",1,"TE_exampleI_129bpm_tapping.wav",0,NA,NA,NA,NA,0.0482334869431644
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",1,"TE_MS2_tapping.wav",0,NA,NA,NA,NA,0.022108843537415
"04e994ca5d0abbe65627001e600b5917-1",11,"moški","tempo","eksperiment",2,"TE_E1_tapping.wav",0,NA,NA,NA,NA,0.0325032765399738
