user_id, session_id, start, finish, start_level, finish_level
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:47:41.7704140+01:00,2024-03-29T12:48:51.2598760+01:00,1,1
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:47:41.7704140+01:00,2024-03-29T12:48:53.8213010+01:00,1,1
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:48:55.7106270+01:00,2024-03-29T12:51:17.5281020+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:48:55.7106270+01:00,2024-03-29T12:51:20.3601680+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:51:21.5364650+01:00,2024-03-29T12:53:05.3568270+01:00,6,7
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:51:21.5364650+01:00,2024-03-29T12:53:05.3638530+01:00,6,7
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:51:21.5364650+01:00,2024-03-29T12:53:08.8262350+01:00,6,7
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:53:10.8084580+01:00,2024-03-29T12:54:32.1263740+01:00,6,7
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:53:10.8084580+01:00,2024-03-29T12:54:33.7072650+01:00,6,7
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:55:02.7170050+01:00,2024-03-29T12:57:27.0367560+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:55:02.7170050+01:00,2024-03-29T12:57:27.0416340+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:55:02.7170050+01:00,2024-03-29T12:57:27.0430040+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:55:02.7170050+01:00,2024-03-29T12:57:43.7277510+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:57:56.8771830+01:00,2024-03-29T13:00:00.1896150+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T12:57:56.8771830+01:00,2024-03-29T13:00:12.0258470+01:00,1,2
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T13:00:14.7021030+01:00,2024-03-29T13:03:28.0294780+01:00,1,3
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T13:00:14.7021030+01:00,2024-03-29T13:03:29.8324820+01:00,1,3
806dfbb080378e366102b82925600fbc-3,5e2b7e5f-9b5b-4fca-a231-f713b40a042c,2024-03-29T13:00:14.7021030+01:00,2024-03-29T13:03:30.4373340+01:00,1,3
