user_id, session_id, timestamp, music_time, closest_offset, drum_id
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:51.1174540+01:00,25.6,0.1000004,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:51.7254810+01:00,26.21867,0.2186661,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:52.1677560+01:00,26.66667,0.166666,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:53.0845950+01:00,27.584,0.08399963,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:53.5277530+01:00,28.01067,0.01066589,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:54.2241930+01:00,28.71467,0.2146664,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:08:54.6670920+01:00,29.16267,0.1626663,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:03.8084940+01:00,38.29333,0.206665,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:04.2799030+01:00,38.76266,0.2373352,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:04.8225030+01:00,39.31733,0.1826668,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:05.2390710+01:00,39.72267,0.2226677,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:16.2513430+01:00,50.752,0.2480011,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:16.6395630+01:00,51.136,0.1360016,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:17.1540640+01:00,51.648,0.1479988,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:17.5426510+01:00,52.032,0.0320015,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:37.1798700+01:00,71.68,0.1800003,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:37.5976580+01:00,72.08533,0.08533478,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:38.1518100+01:00,72.64,0.1399994,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:38.5815700+01:00,73.06667,0.06666565,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:39.3880900+01:00,73.87733,0.1226654,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:39.7623360+01:00,74.26133,0.2386703,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:40.3455660+01:00,74.83733,0.1626663,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:40.8043310+01:00,75.30666,0.1933365,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:44.4857740+01:00,78.976,0.02400208,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:44.8608200+01:00,79.33867,0.1613312,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:45.3194960+01:00,79.808,0.1920013,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:45.9574950+01:00,80.448,0.05200195,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:49.9722240+01:00,84.45866,0.04133606,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:50.5695480+01:00,85.056,0.05599976,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:51.2083740+01:00,85.696,0.1959991,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:51.6245730+01:00,86.12267,0.1226654,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:55.2214100+01:00,89.70667,0.206665,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:55.6098570+01:00,90.09067,0.09066772,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:56.2206060+01:00,90.70934,0.2093353,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:56.6386080+01:00,91.136,0.1360016,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:09:59.2495590+01:00,93.73867,0.2386703,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:00.2359700+01:00,94.72,0.2200012,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:00.9436800+01:00,95.424,0.0759964,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:01.3732390+01:00,95.872,0.1279984,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:02.1647280+01:00,96.64,0.1399994,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:02.9017930+01:00,97.38667,0.1133347,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:03.6232110+01:00,98.112,0.1119995,1
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:04.2596440+01:00,98.752,0.2480011,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:04.9404610+01:00,99.43467,0.06533051,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:05.2297110+01:00,99.712,0.211998,0
1ca3fadde4a210fdaa838a85c7469580-5,963f4193-3f60-49ea-b47b-5d967fe64d5a,2024-03-13T18:10:05.8007370+01:00,100.288,0.211998,1
