user_id, session_id, timestamp, music_time, closest_offset, drum_id
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:01.3319370+01:00,2.005333,0.005333424,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:01.8320070+01:00,2.496,0.003999949,1
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:02.2775910+01:00,2.944,0.05599999,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:02.7509680+01:00,3.413333,0.08666658,1
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:03.2359410+01:00,3.904,0.09599996,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:03.8193400+01:00,4.48,0.01999998,1
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:04.2793700+01:00,4.949333,0.05066681,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:04.7660790+01:00,5.44,0.05999994,1
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:05.2651320+01:00,5.930666,0.06933355,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:05.7801400+01:00,6.442667,0.05733347,1
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:06.2804980+01:00,6.954667,0.04533339,0
b6c21df4c308a9abade999c23aa698be-1,7d932a80-7bf7-427a-8971-8c3cbb9db913,2024-03-20T18:37:06.7509700+01:00,7.402667,0.09733343,1
