user_id, session_id, name, wasSkipped, start, end
user_id, session_id, name, wasSkipped, start, end
user_id, session_id, name, wasSkipped, start, end
76023690985966990fc2c4591a2307e8-1,7740e0c0-2da7-42b3-9600-dd17efbd130c, Intro, True, 2024-03-14T19:08:25.5721050+01:00, 2024-03-14T19:09:51.8606180+01:00
76023690985966990fc2c4591a2307e8-1,7740e0c0-2da7-42b3-9600-dd17efbd130c, Intro, True, 2024-03-14T19:10:58.3252510+01:00, 2024-03-14T19:11:01.5781500+01:00
76023690985966990fc2c4591a2307e8-1,7740e0c0-2da7-42b3-9600-dd17efbd130c, Intro, True, 2024-03-14T19:12:23.4738420+01:00, 2024-03-14T19:12:30.6285960+01:00
76023690985966990fc2c4591a2307e8-1,7740e0c0-2da7-42b3-9600-dd17efbd130c, Intro, True, 2024-03-14T19:13:58.7025960+01:00, 2024-03-14T19:14:00.1365800+01:00
