user_id, session_id, start, finish, start_level, finish_level
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:49:21.6838990+01:00,2024-03-14T18:51:22.1900650+01:00,1,2
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:49:21.6838990+01:00,2024-03-14T18:51:30.6732560+01:00,1,2
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:51:48.0217770+01:00,2024-03-14T18:52:58.3261130+01:00,1,1
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:51:48.0217770+01:00,2024-03-14T18:52:58.3309090+01:00,1,1
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:51:48.0217770+01:00,2024-03-14T18:52:58.3322970+01:00,1,1
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:51:48.0217770+01:00,2024-03-14T18:53:04.5441550+01:00,1,1
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:53:06.9883430+01:00,2024-03-14T18:54:59.8039670+01:00,1,2
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:53:06.9883430+01:00,2024-03-14T18:55:03.7181680+01:00,1,2
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:55:06.3551830+01:00,2024-03-14T18:58:39.6787790+01:00,1,4
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:55:06.3551830+01:00,2024-03-14T18:58:39.6838310+01:00,1,4
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:55:06.3551830+01:00,2024-03-14T18:58:58.6633670+01:00,1,4
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:59:48.1329520+01:00,2024-03-14T19:01:50.3920990+01:00,1,4
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:59:48.1329520+01:00,2024-03-14T19:01:56.5845350+01:00,1,4
76023690985966990fc2c4591a2307e8-1,04d5bede-a7d9-4939-a21e-7d2f8f84ade9,2024-03-14T18:59:48.1329520+01:00,2024-03-14T19:03:23.3223740+01:00,1,4
